company_id,name,industry,city,country,founded,hq,overview,emp_count
varian-medical-systems,Varian Medical Systems,medical devices,Palo Alto,United States,1948.0,"Varian Medical Systems, Inc. 3100 Hansen Way Palo Alto, CA 94304-1030 United States","Our mission is to focus energy on saving lives. We equip the world with new tools for fighting cancer, taking X-ray images, and protecting our borders.

Since the 1950s we have been producing tools that harness the power of X-ray energy to benefit humankind. In recent decades, we have pioneered developments in the fields of radiotherapy, radiosurgery, X-ray tube technology, digital image detectors, cargo screening, and non-destructive testing. We have a robust product portfolio, and long-standing relationships with many of the world’s leading clinicians and manufacturers of industrial and medical imaging systems. As Varian continues to grow, our staff of over 6,500 people in 70 sales and support offices around the globe is developing innovative, cost-effective solutions that help make the world a healthier, more secure place.

Varian reserves the right to remove any comment for any reason and ban any user from its page at is sole discretion. Varian does not endorse user comments on its page and cannot confirm their accuracy. User comments do not necessarily represent the ideas, thoughts, beliefs, opinions or views of Varian, or any of its affiliates.",7752.0
darden-restaurants,Darden,restaurants,Orlando,United States,,"1000 Darden Center Drive Orlando, FL 32837 United States","Darden is a restaurant company featuring a portfolio of differentiated brands that include Olive Garden, LongHorn Steakhouse, Cheddar's Scratch Kitchen, Yard House, The Capital Grille, Seasons 52, Bahama Breeze and Eddie V's. Our people equal our success, and we are proud to employ 165,000 team members in more than 1,600 restaurants. Together, we create memorable experiences for 380 million guests each year in communities across North America.",16762.0
wellsfargo,Wells Fargo,financial services,San Francisco,United States,,"420 Montgomery St San Francisco, California 94103 United States","Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with $1.9 trillion in assets. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, insurance, investments, mortgage, and consumer and commercial finance through more than 8,600 locations, 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 36 countries and territories to support customers who conduct business in the global economy. With approximately 268,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 27 on Fortune’s 2016 rankings of America’s largest corporations. Wells Fargo’s vision is to satisfy our customers’ financial needs and help them succeed financially. Wells Fargo perspectives are also available on Wells Fargo Blogs and Wells Fargo Stories. 

Our vision: “We want to satisfy all our customers’ financial needs and help them succeed financially.”

Relevant military experience is considered for veterans and transitioning service men and women. 
Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation. © 2016 Wells Fargo Bank, N.A. All rights reserved. Member FDIC.",302434.0
delta-air-lines,Delta Air Lines,airlines/aviation,Atlanta,United States,1928.0,"1030 Delta Boulevard Atlanta, Georgia 30320-6001 United States","Delta Air Lines serves nearly 180 million customers each year. 

In 2016, Delta was named to Fortune’s top 50 Most Admired Companies in addition to being named the most admired airline for the fifth time in six years. Additionally, Delta has ranked No.1 in the Business Travel News Annual Airline survey for an unprecedented five consecutive years. 

With an industry-leading global network, Delta and the Delta Connection carriers offer service to 330 destinations in 61 countries on six continents. Headquartered in Atlanta, Delta employs nearly 80,000 employees worldwide and operates a mainline fleet of more than 800 aircraft. The airline is a founding member of the SkyTeam global alliance and participates in the industry’s leading transatlantic joint venture with Air France-KLM and Alitalia as well as a joint venture with Virgin Atlantic. Including its worldwide alliance partners, Delta offers customers more than 15,000 daily flights, with key hubs and markets including Amsterdam, Atlanta, Boston, Detroit, Los Angeles, Minneapolis/St. Paul, New York-JFK and LaGuardia, London-Heathrow, Paris-Charles de Gaulle, Salt Lake City, Seattle and Tokyo-Narita. 

Delta has invested billions of dollars in airport facilities, global products and services, and technology to enhance the customer experience in the air and on the ground. Additional information is available on the Delta News Hub, as well as delta.com, Twitter @DeltaNewsHub, Google.com/+Delta, Facebook.com/delta and Delta’s blog takingoff.delta.com.",51767.0
ecolab,Ecolab,chemicals,St. Paul,United States,,"370 Wabasha St. N. St. Paul, MN United States","A trusted partner at more than one million customer locations, Ecolab (ECL) is the global leader in water, hygiene and energy technologies and services that protect people and vital resources. With 2016 sales of $13 billion and 48,000 associates, Ecolab delivers comprehensive solutions and on-site service to promote safe food, maintain clean environments, optimize water and energy use and improve operational efficiencies for customers in the food, healthcare, energy, hospitality and industrial markets in more than 170 countries around the world. 

For more Ecolab news and information, visit www.ecolab.com, or follow us on twitter.com/ecolab and facebook.com/ecolab.",28572.0
united-technologies,United Technologies,aviation & aerospace,Farmington,United States,1934.0,"Farm Springs Road Farmington, CT United States","United Technologies Corporation (UTC) serves customers in the commercial aerospace, defense and building industries. Few companies can change the world - We are one. Join us! 

Our businesses include Pratt & Whitney aircraft engines, UTC Aerospace Systems, Otis elevators and escalators, and UTC Climate, Controls & Security, featuring Carrier heating, air-conditioning and fire and security solutions from brands such as Kidde and Chubb.",13767.0
newscorp,News Corp,online media,New York,United States,2013.0,"News Corp 1211 Avenue of the Americas New York, New York 10036 United States","News Corp is a global, diversified media and information services company focused on creating and distributing authoritative and engaging content to consumers throughout the world. The company comprises leading businesses across a range of media, including: news and information services, digital real estate services, book publishing, digital education, and sports programming and pay-TV distribution.

Headquartered in New York, the activities of News Corp are conducted primarily in the United States, Australia, and the United Kingdom.",5009.0
masco-corporation,Masco Corporation,building materials,,,1929.0,,"Masco Corporation is one of the world's largest manufacturers of brand name products for the home improvement and new home construction markets. Masco is also a leading provider of a variety of installed products and services, including insulation, for homebuilders. When it comes to our products and services, our reputation for quality, innovation, value, and performance is unparalleled.  Some of our major brands include Delta, Behr, KraftMaid, Merillat, Hansgrohe, Milgard, and Liberty.

Masco is also committed to providing high quality products that enhance the lives of consumers worldwide.  Our focus is on strengthening our leadership brands by delivering innovative, cost-effective and environmentally-friendly solutions for our customers.",2574.0
unionpacific,Union Pacific Railroad,transportation/trucking/railroad,Omaha,United States,1862.0,"1400 Douglas Street Omaha, NE 68179 United States","One of America's most recognized companies, Union Pacific Railroad connects 23 states in the western two-thirds of the country by rail, providing a critical link in the global supply chain. From 2007-2013, Union Pacific invested more than $21.6 billion in its network and operations to support America's transportation infrastructure. The railroad's diversified business mix includes Agricultural Products, Automotive, Chemicals, Coal, Industrial Products and Intermodal. Union Pacific serves many of the fastest-growing U.S. population centers, operates from all major West Coast and Gulf Coast ports to eastern gateways, connects with Canada's rail systems and is the only railroad serving all six major Mexico gateways. Union Pacific provides value to its roughly 10,000 customers by delivering products in a safe, reliable, fuel-efficient and environmentally responsible manner.",16857.0
snap-on-tools,Snap-on Tools,automotive,Kenosha,United States,,"2801 - 80th Street Kenosha, WI 53141 United States","Snap-on Incorporated is a leading global innovator, manufacturer and marketer of tools, equipment, diagnostics, repair information and systems solutions for professional users performing critical tasks.  Products and services include hand and power tools, tool storage, diagnostics software, information and management systems, shop equipment and other solutions for vehicle dealerships and repair centers, as well as for customers in industries, including aviation and aerospace, agriculture, construction, government and military, mining, natural resources, power generation and technical education.  Snap-on also derives income from various financing programs to facilitate the sales of its products. Products and services are sold through the company’s franchisee, company-direct, distributor and internet channels.  Founded in 1920, Snap-on is a $3.4 billion, S&P 500 company headquartered in Kenosha, Wisconsin.",6539.0
skyworks-solutions-inc,"Skyworks Solutions, Inc.",semiconductors,Woburn,United States,,"20 Sylvan Road Woburn, MA 01801 United States","Skyworks Solutions, Inc. is empowering the wireless networking revolution.  Our highly innovative analog semiconductors are connecting people, places and things spanning a number of new and previously unimagined applications within the automotive, broadband, cellular infrastructure, connected home, industrial, medical, military, smartphone, tablet and wearable markets.
Skyworks is a global company with engineering, marketing, operations, sales and support facilities located throughout Asia, Europe and North America and is a member of the S&P 500® and Nasdaq-100® market indices (NASDAQ: SWKS).  For more information, please visit Skyworks’ website at: www.skyworksinc.com. ",3585.0
ge,GE,electrical/electronic manufacturing,Boston,United States,1892.0,"41 Farnsworth St Boston, MA 02210 United States","GE (NYSE: GE) is the world’s Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. GE is organized around a global exchange of knowledge, the ""GE Store,""​ through which each business shares and accesses the same technology, markets, structure and intellect. Each invention further fuels innovation and application across our industrial sectors. With people, services, technology and scale, GE delivers better outcomes for customers by speaking the language of industry. www.ge.com",142190.0
intel-corporation,Intel Corporation,semiconductors,Santa Clara,United States,1968.0,"Robert Noyce Building Santa Clara, California 95052 United States","INTEL MAKES POSSIBLE THE MOST AMAZING EXPERIENCES OF THE FUTURE

You know us best for our processors.  But we do so much more.  We are makers, catalysts and inventors.  We innovate at the boundaries of technology to make amazing experiences possible for business and society, and for every person on Earth. 
 
Throughout our proud history, Intel has continuously expanded the reach, influence and power of computing to improve people’s everyday lives.  With more than 100,000 employees in 63 countries and customers in over 120 countries, Intel’s products and services create the foundation for limitless invention.  Our innovations are bringing sight, touch, depth-perception and the ability to communicate to devices, objects and spaces to make them smart and connected. More than an essential ingredient of the most valued devices, we harness the capability of the cloud and the Internet of Things to disrupt industries, solve global challenges — such as those in healthcare, agriculture and commerce.  We lead on important matters of policy, diversity, inclusion, education and sustainability.  
 
Intel has transformed from a company that primarily served the PC industry, to one now also powering the majority of the world’s data centers, connecting hundreds of millions of mobile and Internet of Things devices, and helping to secure and protect enterprise and government IT systems. Our manufacturing advantage - fueled by our pursuit of Moore’s Law - lets us continuously push the limits of performance and functionality and expand what experiences can be made possible.",167064.0
comerica-bank,Comerica Bank,banking,Dallas,United States,1849.0,"1717 Main Street Dallas, TX 75201 United States","Comerica Incorporated (NYSE: CMA) is a financial services company headquartered in Dallas, Texas, strategically aligned by the Business Bank, the Retail Bank, and Wealth Management. The Business Bank provides companies of all sizes with an array of credit and non-credit financial products and services. The Retail Bank delivers personalized financial products and services to consumers. Wealth Management serves the needs of high net worth clients and institutions.

Comerica’s nearly 9,000 colleagues focus on relationships, and helping people and businesses be successful.  Comerica operates in seven of the 10 largest U.S. cities, with 480 banking centers in its primary markets of Texas, Arizona, California, Florida and Michigan.  Select businesses operate in several other states, as well as in Canada and Mexico. Comerica is among the 22 largest U.S. banking companies, with $69.2 billion in total assets at December 31, 2014.

Visit Comerica's Facebook page at facebook.com/ComericaCares or on Twitter at @ComericaCares for more information on how Comerica is making a positive difference in the communities it serves.

Comerica's chief economist, Robert Dye, provides economic research, commentary and analysis.  You can follow him on Twitter at @Comerica_Econ.

To learn more about Comerica’s products, services and career opportunities, visit Comerica.com.",14645.0
ppl-corporation,PPL Corporation,utilities,Allentown,United States,1920.0,"Two North Ninth Street Allentown, PA 18101 United States","PPL Corporation (NYSE:PPL), a global energy company, delivers electricity and natural gas to more than 10.5 million customers in Pennsylvania, Kentucky and the United Kingdom. Our high-performing regulated utilities – Western Power Distribution, Louisville Gas and Electric, Kentucky Utilities, and PPL Electric Utilities – provide an outstanding service experience for our customers, consistently ranking among the best in the U.S. and the U.K. 

PPL is a positive force in the cities and towns where we do business, providing support for programs that create jobs and donating millions to charitable organizations that improve the quality of life. Our more than 13,000 employees generously volunteer their time and energy to help others.

PPL is a Fortune 500 company and one of the largest investor-owned utilities in the U.S. PPL is committed to providing essential energy services in extraordinary ways, and we deliver.",4148.0
adm,Archer Daniels Midland Company,food production,,,1902.0,,"For more than a century, the people of Archer Daniels Midland Company (NYSE: ADM) have transformed crops into products that serve the vital needs of a growing world. Today, we’re one of the world’s largest agricultural processors and food ingredient providers, with more than 32,300 employees serving customers in more than 160 countries. With a global value chain that includes 428 crop procurement locations, 280 ingredient manufacturing facilities, 39 innovation centers and the world’s premier crop transportation network, we connect the harvest to the home, making products for food, animal feed, industrial and energy uses.",14780.0
diamondback-energy-services,Diamondback Energy Inc,oil & energy,,United States,,United States,"Diamondback Energy is an independent oil and natural gas company headquartered in Midland, TX. Diamondback’s growth strategy is focused on the acquisition, development, exploration and exploitation of unconventional, long-life, onshore oil and natural gas reserves in the major oil producing Permian Basin in West Texas. The Company’s operations are directed primarily at the large acreage areas of the Clearfork, Spraberry, Wolfcamp, Cline, Strawn and Atoka formations, collectively known as the Wolfberry Trend.",150.0
chipotle-mexican-grill,Chipotle Mexican Grill,restaurants,Denver,United States,1993.0,"1401 Wynkoop Suite 500 Denver, CO 80202 United States","When Chipotle first opened, the idea was simple: show that food served fast didn't have to be a ""fast-food""​ experience. We use high-quality raw ingredients and classic cooking methods, serve in a distinctively designed atmosphere, and provide an exceptional customer experience—features more frequently found in the world of fine dining. As a fast-growing company, we’re always looking for new people to join our team. We provide real opportunity for advancement and a fun, exciting work environment.",18514.0
boeing,Boeing,aviation & aerospace,Chicago,United States,1916.0,"100 N. Riverside Chicago, IL 60606-1596 United States","As we enter our second century, Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. Join us, and build something better for yourself, for our customers and for the world.

Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law.",146103.0
marsh-&-mclennan-companies-inc-,Marsh & McLennan Companies,financial services,New York,United States,,"1166 Avenue of the Americas New York, NY 10036 United States","Marsh & McLennan Companies is a professional services firm like no other — a global network of approximately 60,000 experts in risk, strategy, and people, united by an unusually collaborative culture that transcends business units and borders.
 
We bring the best people together to help clients discern new possibilities and pursue them with success.
 
For 146 years, we have grown by helping our clients prosper amid changing times and technologies, from the Industrial Revolution to the digital age. Our work today embraces many of society’s most complex challenges: sustainable business growth; the health, wealth, and performance of organizations'​ people; resource security; cyber security; economic instability; climate change; and terror threats.
 
Our people — at Marsh, Guy Carpenter, Mercer, and Oliver Wyman — are known for character, commitment to their clients'​ enterprise, and the temperament to overcome challenges. We are here for the long haul to help clients realize ambitious goals with the right plan, the right team, and the confidence that risks are fully addressed.

Follow us on Twitter: @MMC_Global",14882.0
ebay,eBay,internet,San Jose,United States,1995.0,"2065 Hamilton Avenue San Jose, CA 95125 United States","Founded in 1995 in San Jose, Calif., eBay (NASDAQ:EBAY) is where the world goes to shop, sell, and give. Whether you are buying new or used, plain or luxurious, commonplace or rare, trendy or one-of-a-kind – if it exists in the world, it probably is for sale on eBay. Our mission is to be the world’s favorite destination for discovering great value and unique selection. 

We give sellers the platform, solutions, and support they need to grow their businesses and thrive. We measure our success by our customers'​ success.

Our vision for commerce is one that is enabled by people, powered by technology, and open to everyone. We believe in creating more economic opportunity for all. We call this Connected Commerce.™

We also reach millions through specialized marketplaces such as StubHub, the world's largest ticket marketplace, and eBay Classifieds sites (e.g. Kijiji, Marktplaats, Gumtree) which together have a presence in more than 1,000 cities around the world. For more information about the company visit http://www.ebayinc.com/our-company/our-other-businesses/",30078.0
centurylink,CenturyLink,information technology and services,Monroe,United States,1930.0,"100 CenturyLink Drive Monroe, LA 71201 United States","CenturyLink (NYSE: CTL) is a global communications, hosting, cloud and IT services company enabling millions of customers to transform their businesses and their lives through innovative technology solutions. CenturyLink offers network and data systems management, Big Data analytics and IT consulting, and operates more than 55 data centers in North America, Europe and Asia. The company provides broadband, voice, video, data and managed services over a robust 250,000-route-mile U.S. fiber network and a 300,000-route-mile international transport network. ",30391.0
prologis,Prologis,real estate,,,,,"Prologis is the global leader in industrial real estate, with more than 669 million square feet (62 million square meters) in 20 countries across the Americas, Europe and Asia. The company leases modern distribution facilities to more than 5,200 customers, including manufacturers, retailers, transportation companies, third-party logistics providers and other enterprises with large-scale distribution needs. 

A publicly traded real estate investment trust (“REIT”), Prologis offers its customers and investors the most modern and geographically diverse platform of distribution space in the world. The company is known for its unparalleled customer service and commitment to sustainable development.  Prologis is among the 100 most sustainable companies in the world.",3477.0
tractor-supply-company,Tractor Supply Company,retail,Brentwood,United States,1938.0,"5401 Virgina Way Brentwood, TN 37027 United States","Don’t let our name fool you. Sure, we may know a thing or two about tractors. But at Tractor Supply Company, it’s far from our only specialty. Our loyal customers come to us for expertise, advice, and thousands of products every day—from lawn and animal care products to equipment, and even clothing. It’s helped make us an important part of the communities we serve, and one of the nation’s fastest growing retail organizations.

We proudly celebrate over 75 years years of service.  Founded in 1938 by Charles E. Schmidt, Sr. as a mail order tractor parts business, today Tractor Supply is the largest operator of retail farm stores in America. Our stores are located in rural communities and in the outlying areas of large cities—“Out Here”—where people feel a deep connection with their land. Our customers are as diverse as the products we carry: from farmers and ranchers to pet owners and hobbyists, construction and trades people, and suburban landowners. No matter what they’re looking for, they all get the individual attention and service that have become hallmarks of Tractor Supply stores around the country.

We presently have more than 1,500 TSC stores in 49 states, 8 DCs and an e-commerce website at TractorSupply.com. We are a growth company and research indicates we have an opportunity to grow to 2,500 domestic Tractor Supply store locations. It is very exciting to be a part of this $6+ billion organization.

For a complete list of our job opportunities, please visit our careers website at www.tractorsupply.jobs",7122.0
salesforce,Salesforce,internet,San Francisco,United States,1999.0,"1 Market San Francisco, CA 94105 United States","Salesforce is the Customer Success Platform. Our social and mobile cloud technologies—including our flagship sales and CRM applications—help companies connect with customers, partners, and employees in entirely new ways. Privacy Statement: http://www.salesforce.com/company/privacy/

For those who venture in search of content that thrills, inspires, and informs: interactive.salesforce.com/discover-content-collection",31331.0
ventas-inc.,"Ventas, Inc.",real estate,Chicago,United States,,"353 North Clark Street Suite 3300 Chicago, IL 60654 United States","Ventas, Inc. (NYSE: VTR), an S&P 500 company, is a leading real estate investment trust (REIT), with a highly diversified portfolio of nearly 1300 seniors housing and healthcare properties in the United States, Canada and the United Kingdom. Through its Lillibridge subsidiary, Ventas provides management, leasing, marketing, facility development and advisory services to highly rated hospitals and health systems throughout the United States. In 2014, Ventas was the recipient of NAREIT’s “Health Care Leader in the Light Award,” the highest achievement in sustainability for healthcare real estate companies. Ventas was also named by Fortune magazine as one of the “World’s Most Admired Real Estate Companies” and by Modern Healthcare as one of “Healthcare’s Hottest Companies” in 2013.  

Our balanced portfolio of high-quality assets boasts diversification across all key measures – geography, asset type, tenant/manager mix, revenue source and operating model. We are the largest owner of private pay seniors housing properties, and benefit from relationships with over 100 tenants and managers, including industry-leading tenants/managers such as Atria Senior Living Inc., Brookdale Senior Living, Inc. (NYSE: BKD), Kindred Healthcare, Inc. (NYSE: KND) and Sunrise Senior Living, Inc.  

We also have a major national presence in the fast-growing medical office building (MOB) sector, owning and managing over 20 million square feet across our two leading platforms: Lillibridge Healthcare Services, Inc., a Ventas company, and Pacific Medical Buildings, our West Coast strategic partner. Almost all of our MOBs are located on campus, aligning us with over 60 leading health systems and hospitals.",443.0
perkinelmer,"PerkinElmer, Inc.",biotechnology,Waltham,United States,,"940 Winter Street Waltham, Massachusetts 02451 United States","With 9,000 employees serving over 150 countries, PerkinElmer is a $2.1 billion global leader committed to innovating for a healthier world. We are passionate about providing customers with an unmatched experience as they help solve critical issues especially impacting the diagnostics, discovery and analytical solutions markets. 

Our innovative detection, imaging, informatics and service capabilities, combined with deep market knowledge and scientific expertise, help customers gain earlier and more accurate insights to improve lives and the world around us.

Special Advisory: Please be cautious of scam recruitment offers claiming to be from PerkinElmer. Such scams may come from various sources, including fake websites and/or unsolicited emails and seek to obtain personal data or payment from victims by offering jobs that do not exist. Please be advised that PerkinElmer would never ask for payment to progress a job application. When in doubt, please check to see if the position in question is posted on this website before applying. Additionally, please report any suspicious recruiting activity to https://complaint.ic3.gov/ and thank you for your assistance.
",9668.0
mccormick,McCormick & Company,food production,Sparks,United States,1889.0,"18 Loveton Cir Sparks, MD 21152 United States","McCormick & Company, Incorporated (NYSE: MKC) is a global leader in flavor and one of the most respected and familiar names in the industry. In business for more than 125 years, McCormick manufactures, markets and distributes spices, seasoning mixes, condiments and other flavorful products to the entire food industry—retail outlets, food manufacturers and food service businesses. 

The McCormick name represents a trusted source of flavor in millions of kitchens around the globe—in homes and in restaurants. Partnerships with farmers and suppliers around the world allow us to provide great-tasting, quality spices with year-over-year consistency that you can trust. No exceptions.

Our herbs and spices come from 40 different countries, while our brands reach consumers in more than 135 countries and territories. Our passion for quality is matched only by our commitment to an innovative and energetic company culture. At McCormick, we believe in respect, recognition, inclusion and collaboration, based on the highest ethical values for our employees.
 
McCormick is a team of more than 10,000 employees located around the world—and we’re growing.  If you have a passion for flavor—and you’re ready to take a journey—come have a seat at our table.",6731.0
